Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.15,-.27,-.03,-.35,-.12,.00,-.82,-.44,-.27,-.15,-.09,-.02,.05,.65
1881,-.07,-.16,.01,-.32,.11,-.06,-.92,-.40,-.18,.10,.12,-.04,-.07,.57
